backend,op,status,n,mean_ms,stddev_ms,ci95_ms,min_ms,max_ms
AlekhDB,1,OK,5,0.1733,0.0524,0.046,0.1145,0.2243
AlekhDB,2,OK,5,0.5243,0.1714,0.1502,0.3357,0.6593
AlekhDB,3,OK,5,0.1623,0.0547,0.0479,0.1016,0.2089
AlekhDB,4,OK,5,8.9974,3.0198,2.6469,5.692,11.5359
AlekhDB,5,OK,5,0.1622,0.057,0.05,0.0951,0.207
AlekhDB,6,OK,5,6.3939,2.0636,1.8088,4.1257,7.9444
AlekhDB,7,OK,5,5.7454,1.8866,1.6537,3.6265,7.192
AlekhDB,8,OK,5,0.0434,0.0124,0.0108,0.0286,0.0538
AlekhDB,9,OK,5,0.0167,0.0056,0.0049,0.0101,0.0215
AlekhDB,10,OK,5,0.1881,0.0556,0.0487,0.1287,0.25
AlekhDB,11,OK,5,0.2423,0.08,0.0701,0.1542,0.3025
AlekhDB,12,OK,5,0.1957,0.0625,0.0547,0.1224,0.2544
AlekhDB,13,OK,5,0.1968,0.0665,0.0583,0.1132,0.262
AlekhDB,14,OK,5,0.0003,0.0001,0.0001,0.0002,0.0004
Mem0,1,OK,5,20.5655,2.9156,2.5556,16.9994,22.8371
Mem0,2,OK,5,28.2263,6.7058,5.8779,19.5011,34.8593
Mem0,5,OK,5,20.577,4.5526,3.9905,15.1178,24.6297
Mem0,9,OK,5,0.1253,0.0345,0.0302,0.0908,0.1697
Supermemory,1,OK,5,0.2669,0.0708,0.0621,0.1803,0.3268
Supermemory,2,OK,5,34.1979,9.9552,8.7261,22.6352,42.0482
Supermemory,5,OK,5,0.26,0.0619,0.0543,0.1935,0.3211
Supermemory,8,OK,5,0.0233,0.0025,0.0022,0.0207,0.026
Supermemory,9,OK,5,34.0025,10.0233,8.7859,22.9582,42.9898
Supermemory,11,OK,5,0.2429,0.0529,0.0464,0.1792,0.2927
Supermemory,12,OK,5,0.2407,0.0528,0.0463,0.1642,0.2862
Supermemory,13,OK,5,0.249,0.0548,0.048,0.163,0.2961
Supermemory,14,OK,5,0.1543,0.0464,0.0406,0.1102,0.219
Zep/Graphiti,1,OK,5,0.536,0.2049,0.1796,0.3048,0.7323
Zep/Graphiti,2,OK,5,425.1732,124.4951,109.1248,285.259,520.651
Zep/Graphiti,5,OK,5,0.516,0.1403,0.123,0.3788,0.7064
Letta,1,OK,5,0.7162,0.0792,0.0694,0.5901,0.7919
Letta,2,OK,5,1.1169,0.1037,0.0909,0.9849,1.2492
Letta,5,OK,5,0.593,0.0744,0.0652,0.5052,0.6984
Letta,9,OK,5,0.3891,0.0273,0.0239,0.3635,0.4335
